"101","Gefahrstelle"
"422-24","Wegweiser für bestimmte Verkehrsarten, Fahrzeuge mit wassergefährdender Ladung - hier rechts"
"422-25","Wegweiser für bestimmte Verkehrsarten, Fahrzeuge mit wassergefährdender Ladung - rechts einordnen"
"422-26","Wegweiser für bestimmte Verkehrsarten, Radverkehr - hier rechts"
"422-27","Wegweiser für bestimmte Verkehrsarten, Radverkehr - rechts einordnen"
"422-30","Wegweiser für bestimmte Verkehrsarten, KFZ mit einer zulässigen Gesamtmasse über 3,5 t - geradeaus"
"422-32","Wegweiser für bestimmte Verkehrsarten, Kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - geradeaus"
"422-34","Wegweiser für bestimmte Verkehrsarten, Fahrzeuge mit wassergefährdender Ladung - geradeaus"
"422-36","Wegweiser für bestimmte Verkehrsarten, Radverkehr - geradeaus"
"430","Pfeilwegweiser zur Autobahn"
"430-10","Pfeilwegweiser zur Autobahn - linksweisend"
"430-20","Pfeilwegweiser zur Autobahn - rechtsweisend"
"430-40","Pfeilwegweiser zur Autobahn - doppelseitig"
"432","Pfeilwegweiser zu Zielen mit erheblicher Verkehrsbedeutung"
"432-10","Pfeilwegweiser zu Zielen mit erheblicher Verkehrsbedeutung - linksweisend"
"432-20","Pfeilwegweiser zu Zielen mit erheblicher Verkehrsbedeutung - rechtsweisend"
"432-40","Pfeilwegweiser zu Zielen mit erheblicher Verkehrsbedeutung - doppelseitig"
"434","Tabellenwegweiser"
"434-50","Tabellenwegweiser - kompakte Form"
"434-51","Tabellenwegweiser - teilaufgelöste Form"
"434-52","Tabellenwegweiser - aufgelöste Form (nur innerorts) mit Bundesstraßennummer"
"434-53","Tabellenwegweiser - aufgelöste Form (nur innerorts) ohne Bundesstraßennummer"
"437","Straßennamensschild"
"438","Vorwegweiser außerhalb von Autobahnen"
"439","Gegliederter Vorwegweiser außerhalb von Autobahnen"
"440","Vorwegweiser zur Autobahn"
"441","Gegliederter Vorwegweiser zur Autobahn"
"442","Vorwegweiser für bestimmte Verkehrsarten"
"442-10","KFZ mit einer zulässigen Gesamtmasse über 3,5 t - linksweisend"
"442-11","Kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - linksweisend"
"442-12","Fahrzeuge mit wassergefährdender Ladung - linksweisend"
"442-13","Radverkehr - linksweisend"
"442-14","KFZ mit einer zulässigen Gesamtmasse über 3,5 t – im Kreisverkehr linksweisend"
"442-15","Kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - im Kreisverkehr linksweisend"
"442-16","Fahrzeuge mit wassergefährdender Ladung - im Kreisverkehr linksweisend"
"442-17","Radverkehr - im Kreisverkehr linksweisend"
"442-20","KFZ mit einer zulässigen Gesamtmasse über 3,5 t - rechtsweisend"
"442-21","Kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - rechtsweisend"
"442-22","Fahrzeuge mit wassergefährdender Ladung - rechtsweisend"
"442-23","Radverkehr - rechtsweisend"
"442-24","KFZ mit einer zulässigen Gesamtmasse über 3,5 t - im Kreisverkehr rechtsweisend"
"442-25","Kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - im Kreisverkehr rechtsweisend"
"442-26","Fahrzeuge mit wassergefährdender Ladung - im Kreisverkehr rechtsweisend"
"442-27","Radverkehr - im Kreisverkehr rechtsweisend"
"442-30","KFZ mit einer zulässigen Gesamtmasse über 3,5 t - im Kreisverkehr geradeausweisend"
"442-31","Kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - im Kreisverkehr geradeausweisend"
"442-32","Fahrzeuge mit wassergefährdender Ladung - im Kreisverkehr geradeausweisend"
"442-33","Radverkehr - im Kreisverkehr geradeausweisend"
"442-50","KFZ mit einer zulässigen Gesamtmasse über 3,5 t - ohne Pfeilsymbol"
"442-51","Kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - ohne Pfeilsymbol"
"442-52","Fahrzeuge mit wassergefährdender Ladung - ohne Pfeilsymbol"
"442-53","Radverkehr - ohne Pfeilsymbol"
"448","Ankündigungstafel"
"448-50","Ankündigungstafel - auf anderen Straßen außerhalb von Autobahnen"
"448.1","Autohof"
"449","Vorwegweiser auf Autobahnen"
"449-50","Vorwegweiser - auf anderen Straßen außerhalb von Autobahnen"
"450","Ankündigungsbake"
"450-50","Ankündigungsbake einstreifig (100 m)"
"450-51","Ankündigungsbake zweistreifig (200 m)"
"450-52","Ankündigungsbake dreistreifig (300 m)"
"450-53","Ankündigungsbake einstreifig (100 m, gelb)"
"450-54","Ankündigungsbake zweistreifig (200 m, gelb)"
"450-55","Ankündigungsbake dreistreifig (300 m, gelb)"
"453","Entfernungstafel"
"453-50","Entfernungstafel auf autobahnähnlich ausgebauten, zweibahnigen Straßen"
"454","Umleitungswegweiser"
"454-10","Umleitungswegweiser - linksweisend"
"454-20","Umleitungswegweiser - rechtsweisend"
"454-40","Umleitungswegweiser - doppelseitig"
"455.1","Ankündigung oder Fortsetzung der Umleitung"
"455.1-10","Ankündigung oder Fortsetzung der Umleitung - Vorankündigung links"
"455.1-11","Ankündigung oder Fortsetzung der Umleitung - hier links"
"455.1-12","Ankündigung oder Fortsetzung der Umleitung - links einordnen"
"455.1-13","Ankündigung oder Fortsetzung der Umleitung – im Kreisverkehr links"
"455.1-20","Ankündigung oder Fortsetzung der Umleitung - Vorankündigung rechts"
"455.1-21","Ankündigung oder Fortsetzung der Umleitung - hier rechts"
"455.1-22","Ankündigung oder Fortsetzung der Umleitung - rechts einordnen"
"455.1-23","Ankündigung oder Fortsetzung der Umleitung – im Kreisverkehr rechts"
"455.1-30","Ankündigung oder Fortsetzung der Umleitung - geradeaus"
"455.1-31","Ankündigung oder Fortsetzung der Umleitung – im Kreisverkehr geradeaus"
"455.1-50","Ankündigung oder Fortsetzung der Umleitung - ohne Pfeilsymbol"
"455.2","Ende der Umleitung (in Verb. m. Z 455.1)"
"457.1","Umleitungsankündigung"
"457.2","Ende der Umleitung"
"458","Planskizze"
"460","Bedarfsumleitung"
"460-10","Bedarfsumleitung - Vorankündigung links"
"460-11","Bedarfsumleitung - hier links"
"460-12","Bedarfsumleitung - links einordnen"
"460-13","Bedarfsumleitung – im Kreisverkehr links"
"460-20","Bedarfsumleitung - Vorankündigung rechts"
"460-21","Bedarfsumleitung - hier rechts"
"460-22","Bedarfsumleitung - rechts einordnen"
"460-23","Bedarfsumleitung – im Kreisverkehr rechts"
"460-30","Bedarfsumleitung - geradeaus"
"460-31","Bedarfsumleitung – im Kreisverkehr geradeaus"
"460-50","Bedarfsumleitung - ohne Pfeilsymbol"
"466","Weiterführende Bedarfsumleitung"
"467.1","Umlenkungspfeil (Streckenempfehlung)"
"467.1-10","Umlenkungspfeil (Streckenempfehlung) - linksweisend"
"467.1-20","Umlenkungspfeil (Streckenempfehlung) - rechtsweisend"
"467.1-30","Umlenkungspfeil (Streckenempfehlung) - geradeaus"
"467.2","Umlenkungspfeil Ende (Ende einer Streckenempfehlung)"
"501","Überleitungstafel - ohne Gegenverkehr"
"501-10","Überleitungstafel - ohne Gegenverkehr - 1-streifig nach links"
"501-11","Überleitungstafel - ohne Gegenverkehr - 2-streifig nach links"
"501-12","Überleitungstafel - ohne Gegenverkehr - 3-streifig nach links"
"501-13","Überleitungstafel - ohne Gegenverkehr - 2-streifig nach links, davon 1 Fahrstreifen übergeleitet"
"501-14","Überleitungstafel - ohne Gegenverkehr - 3-streifig nach links, davon 1 Fahrstreifen übergeleitet"
"501-15","Überleitungstafel - ohne Gegenverkehr - 3-streifig nach links, davon 2 Fahrstreifen übergeleitet"
"501-16","Überleitungstafel - ohne Gegenverkehr – 2-streifig, davon linker Fahrstreifen nach links übergeleitet und rechter Fahrstreifen geradeaus"
"501-17","Überleitungstafel - ohne Gegenverkehr - 3-streifig, davon linker Fahrstreifen nach links übergeleitet und die beiden rechten Fahrstreifen geradeaus"
"501-18","Überleitungstafel - ohne Gegenverkehr - 3-streifig, davon die beiden linken Fahrstreifen nach links übergeleitet und rechter Fahrstreifen geradeaus"
"501-19","Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon linker Fahrstreifen nach links übergeleitet und die drei rechten Fahrstreifen geradeaus"
"501-20","Überleitungstafel - ohne Gegenverkehr - 1-streifig nach rechts"
"501-21","Überleitungstafel - ohne Gegenverkehr - 2-streifig nach rechts"
"501-22","Überleitungstafel - ohne Gegenverkehr - 3-streifig nach rechts"
"501-23","Überleitungstafel - ohne Gegenverkehr - 2-streifig nach rechts, davon 1 Fahrstreifen übergeleitet"
"501-24","Überleitungstafel - ohne Gegenverkehr - 3-streifig nach rechts, davon 1 Fahrstreifen übergeleitet"
"501-25","Überleitungstafel - ohne Gegenverkehr - 3-streifig nach rechts, davon 2 Fahrstreifen übergeleitet"
"501-26","Überleitungstafel - ohne Gegenverkehr - 2-streifig, davon linker Fahrstreifen nach rechts übergeleitet und rechter Fahrstreifen geradeaus"
"501-27","Überleitungstafel - ohne Gegenverkehr - 3-streifig, davon linker Fahrstreifen nach rechts übergeleitet und die beiden rechten Fahrstreifen geradeaus"
"501-28","Überleitungstafel - ohne Gegenverkehr - 3-streifig, davon die beiden linken Fahrstreifen nach rechts übergeleitet und rechter Fahrstreifen geradeaus"
"501-29","Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon linker Fahrstreifen nach rechts übergeleitet und die drei rechten Fahrstreifen geradeaus"
"501-50","Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die beiden linken Fahrstreifen nach links übergeleitet und die beiden rechten Fahrstreifen geradeaus"
"501-51","Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die drei linken Fahrstreifen nach links übergeleitet und rechter Fahrstreifen geradeaus"
"501-52","Überleitungstafel - ohne Gegenverkehr - 4-streifig nach links, davon 1 Fahrstreifen übergeleitet"
"501-53","Überleitungstafel - ohne Gegenverkehr - 4-streifig nach links, davon 2 Fahrstreifen übergeleitet"
"501-54","Überleitungstafel - ohne Gegenverkehr - 4-streifig nach links, davon 3 Fahrstreifen übergeleitet"
"501-60","Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die beiden linken Fahrstreifen nach rechts übergeleitet und die beiden rechten Fahrstreifen geradeaus"
"501-61","Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die drei linken Fahrstreifen nach rechts übergeleitet und rechter Fahrstreifen geradeaus"
"501-62","Überleitungstafel - ohne Gegenverkehr - 4-streifig nach rechts, davon 1 Fahrstreifen übergeleitet"
"501-63","Überleitungstafel - ohne Gegenverkehr - 4-streifig nach rechts, davon 2 Fahrstreifen übergeleitet"
"501-64","Überleitungstafel - ohne Gegenverkehr - 4-streifig nach rechts, davon 3 Fahrstreifen übergeleitet"
"501-70","Überleitungstafel - ohne Gegenverkehr - 2-streifig, davon linker Fahrstreifen nach links übergeleitet und rechter Fahrstreifen nach rechts verschwenkt"
"501-71","Überleitungstafel - ohne Gegenverkehr - 3-streifig, davon linker Fahrstreifen nach links übergeleitet und die beiden rechten Fahrstreifen nach rechts verschwenkt"
"501-72","Überleitungstafel - ohne Gegenverkehr - 3-streifig, davon die beiden linken Fahrstreifen nach links übergeleitet und rechter Fahrstreifen nach rechts verschwenkt"
"501-73","Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon linker Fahrstreifen nach links übergeleitet und die drei rechten Fahrstreifen nach rechts verschwenkt"
"501-74","Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die beiden linken Fahrstreifen nach links übergeleitet und die beiden rechten Fahrstreifen nach rechts verschwenkt"
"501-75","Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die drei linken Fahrstreifen nach links übergeleitet und rechter Fahrstreifen nach rechts verschwenkt"
"501-80","Überleitungstafel - ohne Gegenverkehr - 2-streifig, davon linker Fahrstreifen nach rechts übergeleitet und rechter Fahrstreifen nach links verschwenkt"
"501-81","Überleitungstafel - ohne Gegenverkehr - 3-streifig, davon linker Fahrstreifen nach rechts übergeleitet und die beiden rechten Fahrstreifen nach links verschwenkt"
"501-82","Überleitungstafel - ohne Gegenverkehr - 3-streifig, davon die beiden linken Fahrstreifen nach rechts übergeleitet und rechter Fahrstreifen nach links verschwenkt"
"501-83","Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon linker Fahrstreifen nach rechts übergeleitet und die drei rechten Fahrstreifen nach links verschwenkt"
"501-84","Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die beiden linken Fahrstreifen nach rechts übergeleitet und die beiden rechten Fahrstreifen nach links verschwenkt"
"501-85","Überleitungstafel - ohne Gegenverkehr - 4-streifig, davon die drei linken Fahrstreifen nach rechts übergeleitet und rechter Fahrstreifen nach links verschwenkt"
"505","Überleitungstafel - ohne Gegenverkehr mit integriertem Zeichen 264 StVO"
"505-11","Überleitungstafel - ohne Gegenverkehr mit integriertem Zeichen 264 StVO - 2-streifig nach links"
"505-12","Überleitungstafel - ohne Gegenverkehr mit integriertem Zeichen 264 StVO - 3-streifig nach links"
"505-21","Überleitungstafel - ohne Gegenverkehr mit integriertem Zeichen 264 StVO - 2-streifig nach rechts"
"505-22","Überleitungstafel - ohne Gegenverkehr mit integriertem Zeichen 264 StVO - 3-streifig nach rechts"
"511","Verschwenkungstafel - ohne Gegenverkehr"
"511-10","Verschwenkungstafel - ohne Gegenverkehr - 1-streifig nach links"
"511-11","Verschwenkungstafel - ohne Gegenverkehr - 2-streifig nach links"
"511-12","Verschwenkungstafel - ohne Gegenverkehr - 3-streifig nach links"
"511-13","Verschwenkungstafel - ohne Gegenverkehr - 4-streifig nach links"
"511-20","Verschwenkungstafel - ohne Gegenverkehr - 1-streifig nach rechts"
"511-21","Verschwenkungstafel - ohne Gegenverkehr - 2-streifig nach rechts"
"511-22","Verschwenkungstafel - ohne Gegenverkehr - 3-streifig nach rechts"
"511-23","Verschwenkungstafel - ohne Gegenverkehr - 4-streifig nach rechts"
"511-25","Verschwenkungstafel - ohne Gegenverkehr - 1-streifige Verschwenkung auf den Seitenstreifen"
"511-26","Verschwenkungstafel - ohne Gegenverkehr - 2-streifige Verschwenkung, 1-streifig auf den Seitenstreifen"
"511-27","Verschwenkungstafel - ohne Gegenverkehr - 3-streifige Verschwenkung, 1-streifig auf den Seitenstreifen"
"511-28","Verschwenkungstafel - ohne Gegenverkehr - 4-streifige Verschwenkung, 1-streifigauf den Seitenstreifen"
"512","Verschwenkungstafel - mit Gegenverkehr"
"512-10","Verschwenkungstafel - mit Gegenverkehr – Verschwenkung nach links 1-streifig in Fahrtrichtung und 1-streifig in Gegenrichtung"
"512-11","Verschwenkungstafel - mit Gegenverkehr – Verschwenkung nach links 1-streifig in Fahrtrichtung und 2-streifig in Gegenrichtung"
"512-12","Verschwenkungstafel - mit Gegenverkehr – Verschwenkung nach links 2-streifig in Fahrtrichtung und 1-streifig in Gegenrichtung"
"512-20","Verschwenkungstafel - mit Gegenverkehr – Verschwenkung nach rechts 1-streifig in Fahrtrichtung und 1-streifig in Gegenrichtung"
"512-21","Verschwenkungstafel - mit Gegenverkehr – Verschwenkung nach rechts 1-streifig in Fahrtrichtung und 2-streifig in Gegenrichtung"
"512-22","Verschwenkungstafel - mit Gegenverkehr – Verschwenkung nach rechts 2-streifig in Fahrtrichtung und 1-streifig in Gegenrichtung"
"513","Verschwenkungstafel kurze Verschwenkung - ohne Gegenverkehr"
"513-10","Verschwenkungstafel kurze Verschwenkung - ohne Gegenverkehr - 1-streifig nach links"
"513-11","Verschwenkungstafel kurze Verschwenkung - ohne Gegenverkehr - 2-streifig nach links"
"513-12","Verschwenkungstafel kurze Verschwenkung - ohne Gegenverkehr - 3-streifig nach links"
"513-13","Verschwenkungstafel kurze Verschwenkung - ohne Gegenverkehr - 4-streifig nach links"
"513-14","Verschwenkungstafel kurze Verschwenkung - ohne Gegenverkehr - 5-streifig nach links"
"513-20","Verschwenkungstafel kurze Verschwenkung - ohne Gegenverkehr - 1-streifig nach rechts"
"513-21","Verschwenkungstafel kurze Verschwenkung - ohne Gegenverkehr - 2-streifig nach rechts"
"513-22","Verschwenkungstafel kurze Verschwenkung - ohne Gegenverkehr - 3-streifig nach rechts"
"513-23","Verschwenkungstafel kurze Verschwenkung - ohne Gegenverkehr - 4-streifig nach rechts"
"513-24","Verschwenkungstafel kurze Verschwenkung - ohne Gegenverkehr - 5-streifig nach rechts"
"514","Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr"
"514-10","Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr  – nach links 1-streifig in Fahrtrichtung und 1-streifig in Gegenrichtung"
"514-11","Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr  – nach links 2-streifig in Fahrtrichtung und 1-streifig in Gegenrichtung"
"514-12","Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr  – nach links 3-streifig in Fahrtrichtung und 1-streifig in Gegenrichtung"
"514-13","Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr  – nach links 1-streifig in Fahrtrichtung und 2-streifig in Gegenrichtung"
"514-14","Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr  – nach links 2-streifig in Fahrtrichtung und 2-streifig in Gegenrichtung"
"514-15","Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr  – nach links 3-streifig in Fahrtrichtung und 2-streifig in Gegenrichtung"
"514-16","Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr  – nach links 1-streifig in Fahrtrichtung und 3-streifig in Gegenrichtung"
"514-17","Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr  – nach links 2-streifig in Fahrtrichtung und 3-streifig in Gegenrichtung"
"514-18","Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr  – nach links 3-streifig in Fahrtrichtung und 3-streifig in Gegenrichtung"
"514-20","Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr  – nach rechts 1-streifig in Fahrtrichtung und 1-streifig in Gegenrichtung"
"514-21","Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr  – nach rechts 2-streifig in Fahrtrichtung und 1-streifig in Gegenrichtung"
"514-22","Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr  – nach rechts 3-streifig in Fahrtrichtung und 1-streifig in Gegenrichtung"
"514-23","Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr  – nach rechts 1-streifig in Fahrtrichtung und 2-streifig in Gegenrichtung"
"514-24","Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr  – nach rechts 2-streifig in Fahrtrichtung und 2-streifig in Gegenrichtung"
"514-25","Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr  – nach rechts 3-streifig in Fahrtrichtung und 2-streifig in Gegenrichtung"
"514-26","Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr  – nach rechts 1-streifig in Fahrtrichtung und 3-streifig in Gegenrichtung"
"514-27","Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr  – nach rechts 2-streifig in Fahrtrichtung und 3-streifig in Gegenrichtung"
"514-28","Verschwenkungstafel kurze Verschwenkung - mit Gegenverkehr  – nach rechts 3-streifig in Fahrtrichtung und 3-streifig in Gegenrichtung"
"515","Verschwenkungstafel - ohne Gegenverkehr mit integriertem Zeichen 264"
"515-11","Verschwenkungstafel - ohne Gegenverkehr mit integriertem Zeichen 264 - 2-streifig nach links"
"515-12","Verschwenkungstafel - ohne Gegenverkehr mit integriertem Zeichen 264 - 3-streifig nach links"
"515-21","Verschwenkungstafel - ohne Gegenverkehr mit integriertem Zeichen 264 - 2-streifig nach rechts"
"515-22","Verschwenkungstafel - ohne Gegenverkehr mit integriertem Zeichen 264 - 3-streifig nach rechts"
"521","Fahrstreifentafel - ohne Gegenverkehr"
"521-30","Fahrstreifentafel - ohne Gegenverkehr - 2-streifig in Fahrtrichtung"
"521-31","Fahrstreifentafel - ohne Gegenverkehr - 3-streifig in Fahrtrichtung"
"521-32","Fahrstreifentafel - ohne Gegenverkehr - 4-streifig in Fahrtrichtung"
"521-33","Fahrstreifentafel - ohne Gegenverkehr - 5-streifig in Fahrtrichtung"
"522","Fahrstreifentafel - mit Gegenverkehr"
"522-30","Fahrstreifentafel - mit Gegenverkehr 1-streifig in Fahrtrichtung und 1-streifig in Gegenrichtung"
"522-31","Fahrstreifentafel - mit Gegenverkehr 2-streifig in Fahrtrichtung und 1-streifig in Gegenrichtung"
"522-32","Fahrstreifentafel - mit Gegenverkehr 1-streifig in Fahrtrichtung und 2-streifig in Gegenrichtung"
"522-33","Fahrstreifentafel - mit Gegenverkehr 2-streifig in Fahrtrichtung und 2-streifig in Gegenrichtung"
"522-34","Fahrstreifentafel - mit Gegenverkehr 3-streifig in Fahrtrichtung und 2-streifig in Gegenrichtung"
"522-35","Fahrstreifentafel - mit Gegenverkehr 2-streifig in Fahrtrichtung und 3-streifig in Gegenrichtung"
"522-36","Fahrstreifentafel - mit Gegenverkehr 3-streifig in Fahrtrichtung und 3-streifig in Gegenrichtung"
"522-37","Fahrstreifentafel - mit Gegenverkehr 3-streifig in Fahrtrichtung und 1-streifig in Gegenrichtung"
"522-38","Fahrstreifentafel - mit Gegenverkehr 1-streifig in Fahrtrichtung und 3-streifig in Gegenrichtung"
"523","Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 274"
"523-30","Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 274 - 2-streifig in Fahrtrichtung"
"523-31","Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 274 - 3-streifig in Fahrtrichtung"
"524","Fahrstreifentafel - ohne Gegenverkehr mit integriertem Zeichen 253"
"524-30","Fahrstreifentafel - ohne Gegenverkehr mit integriertem Zeichen 253 - 2-streifig in Fahrtrichtung"
"524-31","Fahrstreifentafel - ohne Gegenverkehr mit integriertem Zeichen 253 - 3-streifig in Fahrtrichtung"
"524-32","Fahrstreifentafel - ohne Gegenverkehr mit integriertem Zeichen 253 - 4-streifig in Fahrtrichtung"
"524-33","Fahrstreifentafel - ohne Gegenverkehr mit integriertem Zeichen 253 - 5-streifig in Fahrtrichtung"
"525","Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 275"
"525-31","Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 275 - 3-streifig in Fahrtrichtung"
"526","Fahrstreifentafel - mit Gegenverkehr mit integriertem Zeichen 275"
"526-31","Fahrstreifentafel - mit Gegenverkehr mit integriertem Zeichen 275 - 2-streifig in Fahrtrichtung und 1-streifig in Gegenrichtung"
"526-33","Fahrstreifentafel - mit Gegenverkehr mit integriertem Zeichen 275 - 2-streifig in Fahrtrichtung und 2-streifig in Gegenrichtung"
"527","Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 262"
"527-30","Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 262 - 2-streifig in Fahrtrichtung"
"527-31","Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 262 - 3-streifig in Fahrtrichtung"
"528","Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 263"
"528-30","Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 263 - 2-streifig in Fahrtrichtung"
"528-31","Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 263 - 3-streifig in Fahrtrichtung"
"529","Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 265"
"529-30","Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 265 - 2-streifig in Fahrtrichtung"
"529-31","Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 265 - 3-streifig in Fahrtrichtung"
"531","Einengungstafel - ohne Gegenverkehr"
"531-10","Einengungstafel - ohne Gegenverkehr - Einzug rechts, von 2 auf 1 Fahrstreifen"
"531-11","Einengungstafel - ohne Gegenverkehr - Einzug rechts, von 3 auf 2 Fahrstreifen"
"531-12","Einengungstafel - ohne Gegenverkehr - Einzug rechts, von 4 auf 3 Fahrstreifen"
"531-13","Einengungstafel - ohne Gegenverkehr - Einzug rechts, von 5 auf 4 Fahrstreifen"
"531-14","Einengungstafel - ohne Gegenverkehr - Einzug rechts, von 3 auf 1 Fahrstreifen"
"531-15","Einengungstafel - ohne Gegenverkehr - Einzug rechts, von 4 auf 2 Fahrstreifen"
"531-16","Einengungstafel - ohne Gegenverkehr - Einzug rechts, von 5 auf 3 Fahrstreifen"
"531-20","Einengungstafel - ohne Gegenverkehr - Einzug links, von 2 auf 1 Fahrstreifen"
"531-21","Einengungstafel - ohne Gegenverkehr - Einzug links, von 3 auf 2 Fahrstreifen"
"531-22","Einengungstafel - ohne Gegenverkehr - Einzug links, von 4 auf 3 Fahrstreifen"
"531-23","Einengungstafel - ohne Gegenverkehr - Einzug links, von 5 auf 4 Fahrstreifen"
"531-24","Einengungstafel - ohne Gegenverkehr - Einzug links, von 3 auf 1 Fahrstreifen"
"531-25","Einengungstafel - ohne Gegenverkehr - Einzug links, von 4 auf 2 Fahrstreifen"
"531-26","Einengungstafel - ohne Gegenverkehr - Einzug links, von 5 auf 3 Fahrstreifen"
"532","Einengungstafel - mit Gegenverkehr"
"532-10","Einengungstafel - mit Gegenverkehr - Einzug rechts, noch 1 Fahrstreifen und 1 Fahrstreifen in Gegenrichtung"
"532-20","Einengungstafel - mit Gegenverkehr - Einzug links, noch 1 Fahrstreifen und 1 Fahrstreifen in Gegenrichtung"
