"101","Gefahrstelle"
"532-21","Einengungstafel - mit Gegenverkehr - Einzug links, noch 1 Fahrstreifen und 2 Fahrstreifen in Gegenrichtung"
"533","Trennungstafel"
"533-20","Trennungstafel - 2-streifig durchgehend und 1-streifig rechts ab"
"533-21","Trennungstafel - 3-streifig durchgehend und 1-streifig rechts ab"
"533-22","Trennungstafel - 2-streifig durchgehend und 2-streifig rechts ab"
"533-23","Trennungstafel - 3-streifig durchgehend und 2-streifig rechts ab"
"533-24","Trennungstafel - 4-streifig durchgehend und 1-streifig rechts ab"
"533-25","Trennungstafel - 4-streifig durchgehend und 2-streifig rechts ab"
"533-26","Trennungstafel - 4-streifig durchgehend und 3-streifig rechts ab"
"533-27","Trennungstafel - 5-streifig durchgehend und 1-streifig rechts ab"
"533-28","Trennungstafel - 5-streifig durchgehend und 2-streifig rechts ab"
"533-29","Trennungstafel - 5-streifig durchgehend und 3-streifig rechts ab"
"533-60","Trennungstafel - 2-streifig durchgehend und 1-streifig sowie aus dem rechten durchgehenden Fahrstreifen rechts ab"
"533-61","Trennungstafel - 3-streifig durchgehend und 1-streifig sowie aus dem rechten durchgehenden Fahrstreifen rechts ab"
"533-62","Trennungstafel - 4-streifig durchgehend und 1-streifig sowie aus dem rechten durchgehenden Fahrstreifen rechts ab"
"533-63","Trennungstafel - 5-streifig durchgehend und 1-streifig sowie aus dem rechten durchgehenden Fahrstreifen rechts ab"
"535","Einengungstafel - ohne Gegenverkehr mit integrierten Zeichen 279"
"535-11","Einengungstafel - ohne Gegenverkehr mit integrierten Zeichen 279 - Einzug rechts, noch 2 Fahrstreifen in Fahrtrichtung"
"535-21","Einengungstafel - ohne Gegenverkehr mit integrierten Zeichen 279 - Einzug links, noch 2 Fahrstreifen in Fahrtrichtung"
"536","Einengungstafel - mit Gegenverkehr mit integriertem Zeichen 279"
"536-20","Einengungstafel - mit Gegenverkehr mit integriertem Zeichen 279 - Einzug links, noch 1 Fahrstreifen und 1 Fahrstreifen in Gegenrichtung"
"536-21","Einengungstafel - mit Gegenverkehr mit integriertem Zeichen 279 - Einzug links, noch 1 Fahrstreifen und 2 Fahrstreifen in Gegenrichtung"
"537","Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 278"
"537-30","Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 278 - 2-streifig in Fahrtrichtung"
"537-31","Fahrstreifentafel - ohne Gegenverkehr mit integrierten Zeichen 278 - 3-streifig in Fahrtrichtung"
"538","Fahrstreifentafel - ohne Gegenverkehr mit integriertem Zeichen 282"
"538-30","Fahrstreifentafel - ohne Gegenverkehr mit integriertem Zeichen 282 - 2-streifig in Fahrtrichtung"
"538-31","Fahrstreifentafel - ohne Gegenverkehr mit integriertem Zeichen 282 - 3-streifig in Fahrtrichtung"
"541","Aufweitungstafel - ohne Gegenverkehr"
"541-10","Aufweitungstafel - ohne Gegenverkehr - 1-streifig plus Fahrstreifen links"
"541-11","Aufweitungstafel - ohne Gegenverkehr - 2-streifig plus Fahrstreifen links"
"541-12","Aufweitungstafel - ohne Gegenverkehr - 3-streifig plus Fahrstreifen links"
"541-13","Aufweitungstafel - ohne Gegenverkehr - 4-streifig plus Fahrstreifen links"
"541-20","Aufweitungstafel - ohne Gegenverkehr - 1-streifig plus Fahrstreifen rechts"
"541-21","Aufweitungstafel - ohne Gegenverkehr - 2-streifig plus Fahrstreifen rechts"
"541-22","Aufweitungstafel - ohne Gegenverkehr - 3-streifig plus Fahrstreifen rechts"
"541-23","Aufweitungstafel - ohne Gegenverkehr - 4-streifig plus Fahrstreifen rechts"
"542","Aufweitungstafel - mit Gegenverkehr"
"542-10","Aufweitungstafel - mit Gegenverkehr - 1-streifig plus Fahrstreifen links und 1 Fahrstreifen in Gegenrichtung"
"542-11","Aufweitungstafel - mit Gegenverkehr - 1-streifig plus Fahrstreifen links und 2 Fahrstreifen in Gegenrichtung"
"542-12","Aufweitungstafel - mit Gegenverkehr - 2-streifig plus Fahrstreifen links und 1 Fahrstreifen in Gegenrichtung"
"542-13","Aufweitungstafel - mit Gegenverkehr - 2-streifig plus Fahrstreifen links und 2 Fahrstreifen in Gegenrichtung"
"542-14","Aufweitungstafel - mit Gegenverkehr - 1-streifig plus Fahrstreifen links und 3 Fahrstreifen in Gegenrichtung"
"542-15","Aufweitungstafel - mit Gegenverkehr - 2-streifig plus Fahrstreifen links und 3 Fahrstreifen in Gegenrichtung"
"545","Aufweitungstafel - ohne Gegenverkehr mit integrierten Zeichen 275"
"545-11","Aufweitungstafel - ohne Gegenverkehr mit integrierten Zeichen 275 - 2-streifig plus Fahrstreifen links"
"546","Aufweitungstafel - mit Gegenverkehr mit integriertem Zeichen 275"
"546-10","Aufweitungstafel - mit Gegenverkehr mit integriertem Zeichen 275 - 1-streifig plus Fahrstreifen links und 1 Fahrstreifen in Gegenrichtung"
"546-11","Aufweitungstafel - mit Gegenverkehr mit integriertem Zeichen 275 - 1-streifig plus Fahrstreifen links und 2 Fahrstreifen in Gegenrichtung"
"550","Zusammenführungstafel - an durchgehender Strecke"
"550-20","Zusammenführungstafel - an durchgehender Strecke - 1-streifig plus 1 Fahrstreifen von rechts"
"550-21","Zusammenführungstafel - an durchgehender Strecke - 2-streifig plus 1 Fahrstreifen von rechts"
"550-22","Zusammenführungstafel - an durchgehender Strecke - 3-streifig plus 1 Fahrstreifen von rechts"
"550-23","Zusammenführungstafel - an durchgehender Strecke - 2-streifig plus 2 Fahrstreifen von rechts"
"550-24","Zusammenführungstafel - an durchgehender Strecke - 3-streifig plus 2 Fahrstreifen von rechts"
"550-25","Zusammenführungstafel - an durchgehender Strecke - 4-streifig plus 1 Fahrstreifen von rechts"
"550-26","Zusammenführungstafel - an durchgehender Strecke - 4-streifig plus 2 Fahrstreifen von rechts"
"550-27","Zusammenführungstafel - an durchgehender Strecke - 4-streifig plus 3 Fahrstreifen von rechts"
"550-28","Zusammenführungstafel - an durchgehender Strecke - 5-streifig plus 1 Fahrstreifen von rechts"
"550-29","Zusammenführungstafel - an durchgehender Strecke - 5-streifig plus 2 Fahrstreifen von rechts"
"550-60","Zusammenführungstafel - an durchgehender Strecke - 5-streifig plus 3 Fahrstreifen von rechts"
"551","Zusammenführungstafel - an einmündender Strecke"
"551-20","Zusammenführungstafel - an einmündender Strecke - 1-streifig einmündend plus 1-streifig durchgehend"
"551-21","Zusammenführungstafel - an einmündender Strecke - 1-streifig einmündend plus 2-streifig durchgehend"
"551-22","Zusammenführungstafel - an einmündender Strecke - 2-streifig einmündend plus 2-streifig durchgehend"
"551-23","Zusammenführungstafel - an einmündender Strecke - 2-streifig einmündend plus 3-streifig durchgehend"
"551-24","Zusammenführungstafel - an einmündender Strecke - 1-streifig einmündend plus 3-streifig durchgehend"
"551-25","Zusammenführungstafel - an einmündender Strecke - 1-streifig einmündend plus 4-streifig durchgehend"
"551-26","Zusammenführungstafel - an einmündender Strecke - 2-streifig einmündend plus 4-streifig durchgehend"
"551-27","Zusammenführungstafel - an einmündender Strecke - 3-streifig einmündend plus 4-streifig durchgehend"
"551-28","Zusammenführungstafel - an einmündender Strecke - 1-streifig einmündend plus 5-streifig durchgehend"
"551-29","Zusammenführungstafel - an einmündender Strecke - 2-streifig einmündend plus 5-streifig durchgehend"
"551-60","Zusammenführungstafel - an einmündender Strecke - 3-streifig einmündend plus 5-streifig durchgehend"
"590","Blockumfahrung"
"590-10","Blockumfahrung rechts, links, links"
"590-11","Blockumfahrung rechts, rechts, rechts"
"600","Absperrschranke"
"600-30","Absperrschranke - 100x800"
"600-31","Absperrschranke - 100x1200"
"600-32","Absperrschranke - 100x1600"
"600-33","Absperrschranke - 250x1200"
"600-34","Absperrschranke - 250x1600"
"600-35","Absperrschranke - 250x2000"
"600-36","Absperrschranke - 250x2400"
"600-37","Absperrschranke - 500x1600"
"600-38","Absperrschranke - 500x2000"
"600-39","Absperrschranke - 500x2400"
"600-60","Sperrpfosten (Schraffur waagerecht)"
"605","Leitbake"
"605-10","Leitbake - Schraffenbake - Aufstellung rechts"
"605-11","Leitbake - Pfeilbake - Aufstellung rechts"
"605-12","Leitbake - Warnbake - Aufstellung rechts"
"605-13","Leitbake - Warnlichtbake - Aufstellung rechts"
"605-14","Leitbake - Warnlichtbake mit integriertem Zeichen 222 - Aufstellung rechts mit ^Zeichen 222-10"
"605-20","Leitbake - Schraffenbake - Aufstellung links"
"605-21","Leitbake - Pfeilbake - Aufstellung links"
"605-22","Leitbake - Warnbake - Aufstellung links"
"605-23","Leitbake - Warnlichtbake - Aufstellung links"
"605-24","Leitbake - Warnlichtbake mit integriertem Zeichen 222 - Aufstellung links mit Zeichen 222"
"605-40","Leitbake - Schraffenbake - doppelseitig (-10/ -20)"
"605-41","Leitbake - Schraffenbake - doppelseitig (-20/ -20)"
"605-42","Leitbake - Pfeilbake - doppelseitig (-11/ -21)"
"605-43","Leitbake - Pfeilbake - doppelseitig (-21/ -21)"
"605-44","Leitbake - Warnbake - doppelseitig (-12/ -22)"
"605-45","Leitbake - Warnbake - doppelseitig (-22/ -22)"
"610","Leitkegel"
"610-40","Leitkegel - Höhe = 300 (Ringhöhe 55 mm)"
"610-41","Leitkegel - Höhe = 500 (Ringhöhe 85 mm)"
"610-42","Leitkegel - Höhe = 750 (Ringhöhe 130 mm)"
"610-43","Leitkegel - Höhe = 1000 (Ringhöhe 180 mm)"
"615","Fahrbare Absperrtafel"
"616","Fahrbare Absperrtafel mit Blinkpfeil"
"616-30","Fahrbare Absperrtafel mit Blinkpfeil - große Ausführung (3600 x 2200)"
"616-31","Fahrbare Absperrtafel mit Blinkpfeil - kleine Ausführung (2500 x 1700)"
"620","Leitpfosten"
"620-40","Leitpfosten - rechts"
"620-41","Leitpfosten - links"
"625","Richtungstafel in Kurven"
"625-10","Richtungstafel in Kurven - linksweisend: 500 x 500"
"625-11","Richtungstafel in Kurven - linksweisend: 500 x 1500"
"625-12","Richtungstafel in Kurven - linksweisend: 500 x 2000"
"625-13","Richtungstafel in Kurven - linksweisend: 500 x 2500"
"625-20","Richtungstafel in Kurven - rechtsweisend: 500 x 500"
"625-21","Richtungstafel in Kurven - rechtsweisend: 500 x 1500"
"625-22","Richtungstafel in Kurven - rechtsweisend: 500 x 2000"
"625-23","Richtungstafel in Kurven - rechtsweisend: 500 x 2500"
"626","Leitplatte"
"626-10","Leitplatte - Aufstellung rechts 626-20 Leitplatte - Aufstellung links"
"626-30","Leitplatte -750x500"
"626-31","Leitplatte -1200x600"
"626-32","Leitplatte -2500x500"
"627","Leitmal"
"627-10","Leitmal - Anbringung rechts (senkrecht)"
"627-20","Leitmal - Anbringung links (senkrecht)"
"627-30","Leitmal - waagerecht"
"627-50","Leitmal - gebogen"
"628","Leitschwelle mit Leitbake (Z 605)"
"628-10","Leitschwelle mit Leitbake (Z 605) - Aufstellung rechts (mit 605-10)"
"628-11","Leitschwelle mit Leitbake (Z 605) - Aufstellung rechts (mit 605-11)"
"628-20","Leitschwelle mit Leitbake (Z 605) - Aufstellung links (mit 605-20)"
"628-21","Leitschwelle mit Leitbake (Z 605) - Aufstellung links (mit 605-21)"
"628-40","Leitschwelle mit Leitbake (Z 605) - doppelseitig (mit 605-40)"
"628-41","Leitschwelle mit Leitbake (Z 605) - doppelseitig (mit 605-41)"
"628-42","Leitschwelle mit Leitbake (Z 605) - doppelseitig (mit 605-42)"
"628-43","Leitschwelle mit Leitbake (Z 605) - doppelseitig (mit 605-43)"
"629","Leitbord mit Leitbake"
"629-10","Leitbord mit Leitbake - Aufstellung rechts (mit 605-10)"
"629-11","Leitbord mit Leitbake - Aufstellung rechts (mit 605-11)"
"629-20","Leitbord mit Leitbake - Aufstellung links (mit 605-20)"
"629-21","Leitbord mit Leitbake - Aufstellung links (mit 605-21)"
"629-40","Leitbord mit Leitbake - doppelseitig (mit 605-40)"
"629-41","Leitbord mit Leitbake - doppelseitig (mit 605-41)"
"629-42","Leitbord mit Leitbake - doppelseitig (mit 605-42)"
"629-43","Leitbord mit Leitbake - doppelseitig (mit 605-43)"
"630","Parkwarntafel"
"630-10","Parkwarntafel - links vorbei"
"630-20","Parkwarntafel - rechts vorbei"
"720","Grünpfeilschild"
"721","Grünpfeilschild mit Beschränkung auf den Radverkehr"
"1000","Richtungsangaben durch Pfeile"
"1000-10","Richtung, linksweisend"
"1000-11","Vorankündigung, linksweisend"
"1000-12","Fußgänger Gehweg gegenüber benutzen, linksweisend"
"1000-13","Umleitungsbeschilderung Dreiviertelkreis"
"1000-20","Richtung, rechtsweisend"
"1000-21","Vorankündigung, rechtsweisend"
"1000-22","Fußgänger Gehweg gegenüber benutzen, rechtsweisend"
"1000-23","Umleitungsbeschilderung Viertelkreis"
"1000-30","Beide Richtungen, zwei gegengerichtete waagerechte Pfeile"
"1000-31","Beide Richtungen, zwei gegengerichtete senkrechte Pfeile"
"1000-32","Radverkehr kreuzt von links und rechts oder Radverkehr ist in der Gegenrichtung zugelassen"
"1000-34","Umleitungsbeschilderung Halbkreis"
"1001","Länge einer Strecke"
"1001-30","Auf ...m (zweiter Teil der Unternummer steht jeweils für den Zahlenwert)"
"1001-31","Auf ...km (zweiter Teil der Unternummer steht jeweils für den Zahlenwert)"
"1001-32","noch ...m (zweiter Teil der Unternummer steht jeweils für den Zahlenwert)"
"1001-33","noch ...km (zweiter Teil der Unternummer steht jeweils für den Zahlenwert)"
"1001-34","auf ...m (verbal, zweiter Teil der Unternummer steht jeweils für den Zahlenwert)"
"1001-35","auf ...km (verbal, zweiter Teil der Unternummer steht jeweils für den Zahlenwert)"
"1002","Verlauf der Vorfahrtstraße"
"1002-10","Verlauf der Vorfahrtstraße an Kreuzungen - von unten nach links"
"1002-11","Verlauf der Vorfahrtstraße an Kreuzungen - von oben nach links"
"1002-12","Verlauf der Vorfahrtstraße an Einmündungen - von unten nach links, Einmündung von oben"
"1002-13","Verlauf der Vorfahrtstraße an Einmündungen - von unten nach links, Einmündung von rechts"
"1002-14","Verlauf der Vorfahrtstraße an Einmündungen - von oben nach links, Einmündung von unten"
"1002-20","Verlauf der Vorfahrtstraße an Kreuzungen - von unten nach rechts"
"1002-21","Verlauf der Vorfahrtstraße an Kreuzungen - von oben nach rechts"
"1002-22","Verlauf der Vorfahrtstraße an Einmündungen - von unten nach rechts, Einmündung von oben"
"1002-23","Verlauf der Vorfahrtstraße an Einmündungen - von unten nach rechts, Einmündung von links"
"1002-24","Verlauf der Vorfahrtstraße an Einmündungen - von oben nach rechts, Einmündung von unten"
"1004","Entfernungsangaben"
"1004-30","Entfernungsangabe in m (zweiter Teil der Unternummer steht jeweils für den Zahlenwert)"
"1004-31","Entfernungsangabe in km (zweiter Teil der Unternummer steht jeweils für den Zahlenwert)"
"1004-32","Stop in 100 m"
"1005","Entfernungsangaben mit verbalem Zusatz"
"1005-30","Reißverschluss erst in ... m (zweiter Teil der Unternummer steht jeweils für den Zahlenwert)"
"1006","Hinweis auf Gefahren durch Sinnbild"
"1006-30","Schleudergefahr für Wohnwagengespanne an Gefällestrecken mit starkem Seitenwind auf Autobahnen"
"1006-31","Unfallgefahr"
"1007","Hinweis auf Gefahren durch verbale Angabe"
"1007-30","Ölspur"
"1007-31","Rauch"
"1007-32","Rollsplitt"
"1007-33","Baustellenausfahrt"
"1007-34","Straßenschäden"
"1007-35","Verschmutzte Fahrbahn"
"1007-36","Sprengarbeiten"
"1007-37","Ausfahrt"
"1007-38","Baustellenverkehr"
"1007-39","Fehlende Fahrbahnmarkierung"
"1007-50","Unfall"
"1007-51","Hochwasser"
"1007-52","Neuer Fahrbahnbelag"
"1007-53","Spurrinnen"
"1007-54","Linksabbieger"
"1007-55","Skiabfahrt kreuzt"
"1007-56","Skiwanderweg kreuzt"
"1007-57","Kuppe"
"1007-58","Polizeikontrolle"
"1007-59","Ende Seitenstreifen in ... m (zweiter Teil der Unternummer steht jeweils für den Zahlenwert)"
"1007-60","Seitenstreifen nicht befahrbar"
"1007-61","Nebel"
"1007-62","Zufahrt"
"1008","Hinweise auf geänderte Vorfahrt, Verkehrsführung oder besondere Verkehrsregelung"
"1008-30","Vorfahrt geändert"
"1008-31","Verkehrsführung geändert"
"1008-32","Industriegebiet Schienenfahrzeuge haben Vorrang (zu Zeichen 201 StVO)"
"1008-33","Hafengebiet Schienenfahrzeuge haben Vorrang (zu Zeichen 201 StVO)"
"1008-34","Keine Wendemöglichkeit"
"1010","Hinweise durch Sinnbild"
"1010-10","Erlaubt Kindern auch auf der Fahrbahn und dem Seitenstreifen zu spielen"
"1010-11","Wintersport erlaubt"
"1010-12","Kennzeichnung von Parkflächen, auf denen Anhänger auch länger als 14 Tage parken dürfen"
"1010-13","Kennzeichnung von Parkflächen, auf denen Wohnwagen auch länger als 14 Tage parken dürfen"
"1010-14","Information Rollende Landstraße"
"1010-15","Information Leistungsumfang (zu Z 448.1)"
"1010-50","Kraftwagen und sonstige mehrspurige Fahrzeuge"
"1010-51","Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5 t, einschließlich ihrer Anhänger, und Zugmaschinen, ausgenommen Personenkraftwagen und Kraftomnibusse"
"1010-52","Radverkehr"
"1010-53","Fußgänger"
"1010-54","Reiter"
"1010-55","Viehtrieb"
"1010-56","Straßenbahn"
"1010-57","Kraftomnibus"
"1010-58","Personenkraftwagen"
"1010-59","Personenkraftwagen mit Anhänger"
"1010-60","Lastkraftwagen mit Anhänger"
"1010-61","Kraftfahrzeuge und Züge, die nicht schneller als 25 km/h fahren können oder dürfen"
"1010-62","Krafträder, auch mit Beiwagen, Kleinkrafträder und Mopeds"
"1010-63","Mofas"
"1010-64","Gespannfuhrwerk"
"1010-65","E-Bikes"
"1010-66","Elektrisch betriebene Fahrzeuge"
"1010-67","Wohnmobile"
"1010-68","Elektrokleinstfahrzeug im Sinne der Elektrokleinstfahrzeuge-Verordnung (eKFV)"
"1010-69","Fahrrad zum Transport von Gütern oder Personen – Lastenfahrrad"
"1010-70","Carsharing"
"1010-71","Personenkraftwagen oder Krafträder mit Beiwagen, die mit mindestens drei Personen besetzt sind – mehrfachbesetzte Personenkraftwagen"
"1010-72","Krafträder, auch mit Beiwagen, Kleinkrafträder und Mopeds und Kraftwagen und sonstige mehrspurige Fahrzeuge"
"1012","Sonstige Hinweise durch verbale Angaben"
"1012-30","Ladezone"
"1012-31","Ende"
"1012-32","Radfahrer absteigen"
"1012-33","Keine Mofas"
"1012-34","Grüne Welle bei xx km/h"
"1012-35","Bei Rot hier halten"
"1012-36","Lärmschutz"
"1012-37","Zuflussregelung"
"1012-38","Nebenstrecke"
"1012-50","Schule"
"1012-51","Kindergarten"
"1012-52","Altenheim"
"1012-53","Krankenhaus"
"1012-54","Seniorenheim"
"1013","Besondere Hinweise zur Seitenstreifenfreigabe"
"1013-50","Seitenstreifen befahren"
"1013-51","Seitenstreifen räumen"
"1013-52","Ende in ... m (zweiter Teil der Unternummer steht jeweils für den Zahlenwert)"
"1014","Tunnelkategorie gemäß ADR-Übereinkommen"
"1014-50","Tunnelkategorie gemäß ADR-Übereinkommen -B"
"1014-51","Tunnelkategorie gemäß ADR-Übereinkommen -C"
"1014-52","Tunnelkategorie gemäß ADR-Übereinkommen -D"
"1014-53","Tunnelkategorie gemäß ADR-Übereinkommen -E"
"1020","Personengruppen frei"
"1020-11","Schwerbehinderte mit Parkausweis Nr. ... frei"
"1020-12","Radverkehr und Anlieger frei"
"1020-13","Inline-Skaten und Rollschuhfahren zugelassen"
"1020-14","Wintersport frei"
"1020-30","Anlieger frei"
"1020-31","Anlieger oder Parken frei"
"1020-32","Bewohner mit Parkausweis Nr. ... frei"
"1022","Einspurige Fahrzeuge frei"
"1022-10","Radverkehr frei"
"1022-11","Mofas frei"
"1022-12","Krafträder, auch mit Beiwagen, Kleinkrafträder und Mofas frei"
"1022-13","E-Bikes frei"
"1022-14","Radverkehr und Mofas frei"
"1022-15","E-Bikes und Mofas frei"
"1022-16","Elektrokleinstfahrzeuge frei"
"1022-17","Fahrräder zum Transport von Gütern oder Personen – Lastenfahrräder - frei"
"1024","Mehrspurige Fahrzeuge frei"
"1024-10","Personenkraftwagen frei"
"1024-11","Personenkraftwagen mit Anhänger frei"
"1024-12","Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5 t, einschließlich ihrer Anhänger, und Zugmaschinen, ausgenommen Personenkraftwagen und Kraftomnibusse frei"
"1024-13","Lastkraftwagen mit Anhänger frei"
"1024-14","Kraftomnibus frei"
"1024-15","Schienenbahn frei"
"1024-16","Straßenbahn frei"
"1024-17","Kraftfahrzeuge und Züge, die nicht schneller als 25 km/h fahren können oder dürfen frei"
"1024-18","Gespannfuhrwerke frei"
"1024-19","Wohnmobile mit einer zulässigen Gesamtmasse bis 7,5 t ausgenommen"
"1024-20","Elektrisch betriebene Fahrzeuge frei"
"1024-21","Carsharingfahrzeuge frei"
"1026","Besondere Fahrzeuge und Transportgüter frei (verbale Angabe)"
"1026-30","Taxi frei"
"1026-31","Kraftomnibusse im Gelegenheitsverkehr frei"
"1026-32","Linienverkehr frei"
"1026-33","Einsatzfahrzeuge frei"
"1026-34","Krankenfahrzeuge frei"
"1026-35","Lieferverkehr frei"
"1026-36","Landwirtschaftlicher Verkehr frei"
"1026-37","Forstwirtschaftlicher Verkehr frei"
"1026-38","Land- und forstwirtschaftlicher Verkehr frei"
"1026-39","Betriebs- und Versorgungsdienst frei"
"1026-60","Elektrofahrzeuge während des Ladevorgangs frei"
"1026-61","Elektrofahrzeuge frei"
"1026-62","Gülletransport frei"
"1026-63","E-Bikes frei"
"1028","Sonstige Fahrzeug-, Personengruppen frei (verbale Angabe)"
"1028-30","Baustellenfahrzeuge frei"
"1028-31","Bis Baustelle frei"
"1028-32","Anlieger bis Baustelle frei"
"1028-33","Zufahrt bis ... frei"
"1028-34","Fährbenutzer frei"
"1031","Freistellung vom Verkehrsverbot nach § 40 Absatz 1 BImSchG"
"1031-50","Freistellung vom Verkehrsverbot nach § 40 Absatz 1 BImSchG - rote, gelbe und grüne Plakette"
"1031-51","Freistellung vom Verkehrsverbot nach § 40 Absatz 1 BImSchG - gelbe und grüne Plakette"
"1031-52","Freistellung vom Verkehrsverbot nach § 40 Absatz 1 BImSchG - grüne Plakette"
"1040","Zeitangaben ohne Beschränkung auf Wochentage 1040-10 Wintersport erlaubt, zeitlich beschränkt (10 - 16 h)"
"1040-30","Zeitliche Beschränkung (16 - 18 h)"
"1040-31","Zeitliche Beschränkung (8 - 11 h, 16 - 18 h)"
"1040-32","Parkscheibe 2 Stunden"
"1040-33","Parken mit Parkscheibe in gekennzeichneten Flächen 2 Stunden"
"1040-34","Ab Zeitpunkt"
"1040-35","Lärmschutz (mit Zeitangabe)"
"1040-36","Schulweg i. V. m. zeitlicher Begrenzung (zu Z 101 oder 274)"
"1042","Zeitangaben mit Beschränkung auf Wochentage"
"1042-30","Zeitliche Beschränkung (werktags)"
"1042-31","Zeitliche Beschränkung (werktags 18 - 19 h)"
"1042-32","Zeitliche Beschränkung (werktags 8:30 - 11:30 h, 16 - 18 h)"
"1042-33","Zeitliche Beschränkung (Mo - Fr, 16 - 18 h)"
"1042-34","Zeitliche Beschränkung (Di, Do, Fr, 16 - 18 h)"
"1042-35","Zeitliche Beschränkung (6 - 22 h an Sonn- und Feiertagen)"
"1042-36","Schulbus (tageszeitliche Benutzung)"
"1042-37","Parken Sa und So erlaubt"
"1042-38","Werktags außer samstags"
"1042-50","Straßenreinigung (mit Zeit- und Datumsangabe)"
"1042-51","Sa und So"
"1042-52","Sa, So und an Feiertagen"
"1042-53","Schulweg i. V. m. zeitlicher Begrenzung an Werktagen (zu Z 101 oder 274)"
"1044","Personengruppen"
"1044-10","Nur Schwerbehinderte mit außergewöhnlicher Gehbehinderung und Blinde"
"1044-11","Nur Schwerbehinderte mit Parkausweis Nr. ..."
"1044-12","Nur Schwerbehinderte mit außergewöhnlicher Gehbehinderung und Blinde, mit Anzahl der Parkstände"
"1044-30","Nur Bewohner mit Parkausweis Nr. ..."
"1048","Mehrspurige Fahrzeuge"
"1048-14","Nur Sattelkraftfahrzeuge"
"1048-15","Nur Sattelkraftfahrzeuge und Lastkraftwagen mit Anhänger"
"1048-18","Nur Schienenbahnen"
"1048-20","Nur Personenkraftwagen mit Anhänger und Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5 t, einschließlich ihrer Anhänger, und Zugmaschinen, ausgenommen Personenkraftwagen und Kraftomnibusse"
"1049","Sonstige oder mehrere mehrspurige Fahrzeuge"
"1049-11","Kraftfahrzeuge und Züge, die nicht schneller als 25 km/h fahren können oder dürfen, dürfen überholt werden"
"1049-12","Nur militärische Kettenfahrzeuge"
"1049-13","Nur Lkw (Zeichen 1010-51), Kraftomnibus (Zeichen 1010-57) und Pkw mit Anhänger (Zeichen 1010-59)"
"1050","Fahrzeuge (verbale Angabe)"
"1050-30","Taxi"
"1050-31","... Taxen"
"1050-32","Elektrofahrzeuge während des Ladevorgangs"
"1050-33","Elektrofahrzeuge"
"1052","Fahrzeuge mit besonderer Ladung"
"1052-30","Nur kennzeichnungspflichtige Kraftfahrzeuge mit gefährlichen Gütern"
"1052-31","Nur Fahrzeuge mit wassergefährdender Ladung"
"1053","Sonstige Beschränkungen"
"1053-30","Parken in gekennzeichneten Flächen erlaubt"
"1053-31","Mit Parkschein"
"1053-32","Gebührenpflichtig"
"1053-33","Massenangabe - 7,5 t"
"1053-34","Auf dem Seitenstreifen"
"1053-35","Bei Nässe"
"1053-36","Durchgangsverkehr"
"1053-37","Massenangabe - 12 t"
"1053-38","Querparken als Sinnbild"
"1053-39","Schrägparken als Sinnbild"
"1053-52","Nur innerhalb gekennzeichneter Parkflächen"
"1053-53","Parken mit Parkschein in gekennzeichneten Flächen"
"1060","Erweiternde Zusatzzeichen"
"1060-31","Haltverbot auch auf dem Seitenstreifen"
"1060-32","Auch Kraftomnibusse und PKW mit Anhängern (im Bereich von LKW-Kontrollen)"
"1060-33","Massenangabe - 2,8 t"
